name,nchars,lr,epoch,train_loss,val_accuracy
"model-GoogLeNet-500-1.0",500,0.0125,1,4.5025,53.26
"model-GoogLeNet-500-1.0",500,0.0125,2,1.3818,81.99
"model-GoogLeNet-500-1.0",500,0.0125,3,0.8432,87.48
"model-GoogLeNet-500-1.0",500,0.0125,4,0.6496,89.86
"model-GoogLeNet-500-1.0",500,0.0125,5,0.5420,91.89
"model-GoogLeNet-500-1.0",500,0.0125,6,0.4670,91.87
"model-GoogLeNet-500-1.0",500,0.0125,7,0.4104,92.69
"model-GoogLeNet-500-1.0",500,0.0125,8,0.3647,93.03
"model-GoogLeNet-500-1.0",500,0.0125,9,0.3382,93.27
"model-GoogLeNet-500-1.0",500,0.0125,10,0.3082,94.11
"model-GoogLeNet-500-1.0",500,0.0125,11,0.2816,94.01
"model-GoogLeNet-500-1.0",500,0.0125,12,0.2630,94.69
"model-GoogLeNet-500-1.0",500,0.0125,13,0.2493,94.66
"model-GoogLeNet-500-1.0",500,0.0125,14,0.2344,94.57
"model-GoogLeNet-500-1.0",500,0.0125,15,0.2218,94.50
"model-GoogLeNet-500-1.0",500,0.0125,16,0.2071,94.85
"model-GoogLeNet-500-1.0",500,0.0125,17,0.1978,94.94
"model-GoogLeNet-500-1.0",500,0.0125,18,0.1901,95.02
"model-GoogLeNet-500-1.0",500,0.0125,19,0.1793,95.11
"model-GoogLeNet-500-1.0",500,0.0115,20,0.1648,94.99
"model-GoogLeNet-500-1.0",500,0.0115,21,0.1566,95.51
"model-GoogLeNet-500-1.0",500,0.0115,22,0.1483,95.08
"model-GoogLeNet-500-1.0",500,0.0115,23,0.1437,95.31
"model-GoogLeNet-500-1.0",500,0.0115,24,0.1400,95.61
"model-GoogLeNet-500-1.0",500,0.0115,25,0.1358,95.37
"model-GoogLeNet-500-1.0",500,0.0115,26,0.1322,95.55
"model-GoogLeNet-500-1.0",500,0.0115,27,0.1275,95.33
"model-GoogLeNet-500-1.0",500,0.0115,28,0.1209,95.39
"model-GoogLeNet-500-1.0",500,0.0115,29,0.1212,95.60
"model-GoogLeNet-500-1.0",500,0.0115,30,0.1170,95.46
"model-GoogLeNet-500-1.0",500,0.0115,31,0.1116,95.79
"model-GoogLeNet-500-1.0",500,0.0115,32,0.1128,95.68
"model-GoogLeNet-500-1.0",500,0.0115,33,0.1097,95.59
"model-GoogLeNet-500-1.0",500,0.0115,34,0.1062,95.48
"model-GoogLeNet-500-1.0",500,0.0115,35,0.1012,95.83
"model-GoogLeNet-500-1.0",500,0.009,36,0.0839,95.94
"model-GoogLeNet-500-1.0",500,0.009,37,0.0769,95.96
"model-GoogLeNet-500-1.0",500,0.009,38,0.0776,96.02
"model-GoogLeNet-500-1.0",500,0.009,39,0.0734,96.05
"model-GoogLeNet-500-1.0",500,0.009,40,0.0737,95.73
"model-GoogLeNet-500-1.0",500,0.009,41,0.0704,96.01
"model-GoogLeNet-500-1.0",500,0.009,42,0.0740,96.14
"model-GoogLeNet-500-1.0",500,0.009,43,0.0693,95.91
"model-GoogLeNet-500-1.0",500,0.009,44,0.0679,95.86
"model-GoogLeNet-500-1.0",500,0.009,45,0.0687,95.92
"model-GoogLeNet-500-1.0",500,0.009,46,0.0648,95.97
"model-GoogLeNet-500-1.0",500,0.009,47,0.0656,96.06
"model-GoogLeNet-500-1.0",500,0.009,48,0.0650,95.96
"model-GoogLeNet-500-1.0",500,0.009,49,0.0637,95.90
"model-GoogLeNet-500-1.0",500,0.009,50,0.0630,95.94
"model-GoogLeNet-500-1.0",500,0.009,51,0.0587,95.99
"model-GoogLeNet-500-2.0",500,0.012,1,3.9117,62.89
"model-GoogLeNet-500-2.0",500,0.012,2,1.2268,76.83
"model-GoogLeNet-500-2.0",500,0.012,3,0.8139,83.34
"model-GoogLeNet-500-2.0",500,0.012,4,0.6478,86.07
"model-GoogLeNet-500-2.0",500,0.012,5,0.5485,88.18
"model-GoogLeNet-500-2.0",500,0.012,6,0.4800,90.97
"model-GoogLeNet-500-2.0",500,0.012,7,0.4199,90.74
"model-GoogLeNet-500-2.0",500,0.012,8,0.3788,92.26
"model-GoogLeNet-500-2.0",500,0.012,9,0.3445,92.48
"model-GoogLeNet-500-2.0",500,0.012,10,0.3202,92.34
"model-GoogLeNet-500-2.0",500,0.012,11,0.2928,92.96
"model-GoogLeNet-500-2.0",500,0.012,12,0.2810,93.30
"model-GoogLeNet-500-2.0",500,0.012,13,0.2609,93.16
"model-GoogLeNet-500-2.0",500,0.012,14,0.2447,93.29
"model-GoogLeNet-500-2.0",500,0.012,15,0.2287,93.66
"model-GoogLeNet-500-no-aug",500,0.01125,48,0.0500,95.14
"model-GoogLeNet-500-no-aug",500,0.01125,49,0.0459,95.27
"model-GoogLeNet-500-no-aug",500,0.01125,50,0.0460,95.32
"model-GoogLeNet-500-no-aug",500,0.01125,51,0.0469,95.39
"model-GoogLeNet-500-no-aug",500,0.01125,52,0.0468,95.22
"model-GoogLeNet-500-no-aug",500,0.01125,53,0.0435,95.40
"model-GoogLeNet-500-no-aug",500,0.01125,54,0.0449,95.16
"model-GoogLeNet-500-no-aug",500,0.01125,55,0.0444,95.26
"model-GoogLeNet-500-no-aug",500,0.01125,56,0.0443,95.66
"model-GoogLeNet-500-no-aug",500,0.01125,57,0.0414,95.17
"model-GoogLeNet-500-no-aug",500,0.01125,58,0.0412,95.42
"model-GoogLeNet-500-no-aug",500,0.01125,59,0.0408,95.51
"model-GoogLeNet-500-no-aug",500,0.01125,60,0.0416,95.25
"model-GoogLeNet-500-no-aug",500,0.01125,61,0.0408,95.28
"model-GoogLeNet-500-no-aug",500,0.01125,62,0.0428,95.50
"model-GoogLeNet-500-no-aug",500,0.01125,63,0.0383,95.37
"model-GoogLeNet-500-no-aug",500,0.01125,64,0.0403,95.27
"model-GoogLeNet-500-no-aug",500,0.01125,65,0.0412,95.51
"model-GoogLeNet-750-1.0",750,0.012,1,6.6459,0.13
"model-GoogLeNet-750-1.0",750,0.012,2,6.6329,0.12
"model-GoogLeNet-750-1.0",750,0.012,3,6.6327,0.13
"model-GoogLeNet-750-1.0",750,0.012,4,6.6314,0.15
"model-GoogLeNet-750-1.0",750,0.012,5,6.6316,0.13
"model-GoogLeNet-750-1.0",750,0.012,6,6.6317,0.13
"model-GoogLeNet-750-1.0",750,0.012,7,6.6315,0.12
"model-GoogLeNet-750-1.0",750,0.012,8,6.1037,0.98
"model-GoogLeNet-750-1.0",750,0.012,9,5.5447,4.23
"model-GoogLeNet-750-1.0",750,0.012,10,5.0066,9.35
"model-GoogLeNet-750-1.0",750,0.012,11,4.4561,24.93
"model-GoogLeNet-750-1.0",750,0.012,12,3.6863,30.15
"model-GoogLeNet-750-1.0",750,0.012,13,3.3149,39.84
"model-GoogLeNet-750-1.0",750,0.012,14,3.0384,52.78
"model-GoogLeNet-750-1.0",750,0.012,15,2.8710,59.12
"model-GoogLeNet-750-1.0",750,0.012,16,2.6727,58.45
"model-GoogLeNet-750-1.0",750,0.012,17,2.5009,64.22
"model-GoogLeNet-750-1.0",750,0.012,18,2.3665,67.13
"model-GoogLeNet-750-1.0",750,0.012,19,2.1801,74.87
"model-GoogLeNet-750-1.0",750,0.012,20,2.0613,75.04
"model-GoogLeNet-750-1.0",750,0.012,21,1.9343,76.83
"model-GoogLeNet-750-1.0",750,0.012,22,1.8167,76.65
"model-GoogLeNet-750-1.0",750,0.012,23,1.7637,81.06
"model-GoogLeNet-750-1.0",750,0.012,24,1.7037,80.67
"model-GoogLeNet-750-1.0",750,0.012,25,1.6631,81.10
"model-GoogLeNet-750-1.0",750,0.012,26,1.6002,82.85
"model-GoogLeNet-750-1.0",750,0.012,27,1.5652,83.57
"model-GoogLeNet-750-1.0",750,0.012,28,1.5394,83.25
"model-GoogLeNet-750-1.0",750,0.012,29,1.5093,82.95
"model-GoogLeNet-750-1.0",750,0.012,30,1.5081,83.83
"model-GoogLeNet-750-1.0",750,0.012,31,1.4342,85.89
"model-GoogLeNet-750-1.0",750,0.012,32,1.2835,86.25
"model-GoogLeNet-750-1.0",750,0.012,33,1.2498,86.88
"model-GoogLeNet-750-1.0",750,0.012,34,1.1739,87.72
"model-GoogLeNet-750-1.0",750,0.012,35,1.1026,87.60
"model-GoogLeNet-750-1.0",750,0.012,36,1.0894,85.94
"model-GoogLeNet-750-1.0",750,0.012,37,1.0889,87.60
